timestamp,ear,mar,blink_rate,micro_sleeps,yawns,ml_pred,ml_conf,status
2025-11-16T20:04:11.200727,0.29,0.032,1,0,0,ALERT,0.725,NORMAL
2025-11-16T20:04:11.246064,0.292,0.0,1,0,0,ALERT,0.576,NORMAL
2025-11-16T20:04:11.285345,0.286,0.0,1,0,0,ALERT,0.786,NORMAL
2025-11-16T20:04:11.319434,0.298,0.046,1,0,0,ALERT,0.68,NORMAL
2025-11-16T20:04:11.345404,0.298,0.047,1,0,0,ALERT,0.72,NORMAL
2025-11-16T20:04:11.376964,0.303,0.033,1,0,0,ALERT,0.984,NORMAL
2025-11-16T20:04:11.419978,0.316,0.0,1,0,0,ALERT,0.988,NORMAL
2025-11-16T20:04:11.466474,0.31,0.0,1,0,0,ALERT,1.0,NORMAL
2025-11-16T20:04:11.515691,0.298,0.032,1,0,0,ALERT,0.91,NORMAL
2025-11-16T20:04:11.557542,0.31,0.032,1,0,0,ALERT,0.684,NORMAL
2025-11-16T20:04:11.607369,0.31,0.033,1,0,0,ALERT,0.884,NORMAL
2025-11-16T20:04:11.652694,0.315,0.0,1,0,0,DROWSY,0.636,NORMAL
2025-11-16T20:04:11.698382,0.314,0.0,1,0,0,ALERT,0.554,NORMAL
2025-11-16T20:04:11.751217,0.314,0.0,1,0,0,ALERT,0.554,NORMAL
2025-11-16T20:04:11.796034,0.309,0.0,1,0,0,DROWSY,0.738,ALERT
2025-11-16T20:04:11.829546,0.31,0.0,1,0,0,ALERT,0.583,NORMAL
2025-11-16T20:04:11.859561,0.32,0.0,1,0,0,DROWSY,0.675,NORMAL
2025-11-16T20:04:11.891348,0.315,0.0,1,0,0,DROWSY,0.636,NORMAL
2025-11-16T20:04:11.923075,0.159,0.0,1,0,0,ALERT,0.652,NORMAL
2025-11-16T20:04:11.957989,0.108,0.0,1,0,0,ALERT,0.795,NORMAL
2025-11-16T20:04:11.988242,0.087,0.031,1,0,0,DROWSY,0.848,ALERT
2025-11-16T20:04:12.013549,0.126,0.0,1,0,0,DROWSY,0.775,ALERT
2025-11-16T20:04:12.055787,0.228,0.032,2,0,0,ALERT,0.58,NORMAL
2025-11-16T20:04:12.106532,0.244,0.0,2,0,0,DROWSY,0.868,ALERT
2025-11-16T20:04:12.136481,0.269,0.0,2,0,0,ALERT,0.755,NORMAL
2025-11-16T20:04:12.166465,0.275,0.032,2,0,0,ALERT,0.976,NORMAL
2025-11-16T20:04:12.197074,0.275,0.0,2,0,0,ALERT,1.0,NORMAL
