timestamp,ear,mar,blink_per_min,microsleeps,yawns,fatigue,ml
2025-11-16T22:20:55.472509,0.2954,0.0032,1,0,0,17,ALERT
2025-11-16T22:20:55.538967,0.2954,0.0032,1,0,0,17,ALERT
2025-11-16T22:20:55.622607,0.2983,0.0065,1,0,0,17,ALERT
2025-11-16T22:20:55.764847,0.3027,0.0032,1,0,0,17,ALERT
2025-11-16T22:20:55.883658,0.3087,0.0032,1,0,0,37,DROWSY
2025-11-16T22:20:56.028766,0.3107,0.0032,1,0,0,17,ALERT
2025-11-16T22:20:56.092506,0.3133,0.0064,1,0,0,17,ALERT
2025-11-16T22:20:56.227314,0.3141,0.0096,1,0,0,17,ALERT
2025-11-16T22:20:56.346668,0.3063,0.0096,1,0,0,17,ALERT
2025-11-16T22:20:56.438182,0.3063,0.0096,1,0,0,17,ALERT
2025-11-16T22:20:56.554468,0.3043,0.0129,1,0,0,17,ALERT
2025-11-16T22:20:56.685797,0.3014,0.0129,1,0,0,17,ALERT
2025-11-16T22:20:56.752676,0.3024,0.0098,1,0,0,17,ALERT
2025-11-16T22:20:56.817573,0.3029,0.0098,1,0,0,17,ALERT
2025-11-16T22:20:56.882901,0.3021,0.0066,1,0,0,17,ALERT
2025-11-16T22:20:56.946364,0.3059,0.0066,1,0,0,17,ALERT
2025-11-16T22:20:57.009374,0.3089,0.0034,1,0,0,37,DROWSY
2025-11-16T22:20:57.072936,0.3079,0.0064,1,0,0,17,ALERT
2025-11-16T22:20:57.157651,0.3024,0.0098,1,0,0,17,ALERT
2025-11-16T22:20:57.297622,0.3046,0.0064,1,0,0,17,ALERT
2025-11-16T22:20:57.413368,0.307,0.0129,1,0,0,17,ALERT
2025-11-16T22:20:57.567747,0.3096,0.0161,1,0,0,17,ALERT
2025-11-16T22:20:57.628560,0.3069,0.0161,1,0,0,17,ALERT
2025-11-16T22:20:57.754389,0.3114,0.0163,1,0,0,17,ALERT
2025-11-16T22:20:57.902078,0.2977,0.013,1,0,0,17,ALERT
2025-11-16T22:20:58.029086,0.2619,0.013,1,0,0,17,ALERT
2025-11-16T22:20:58.094477,0.2383,0.0097,1,0,0,17,ALERT
2025-11-16T22:20:58.215344,0.1936,0.0099,1,0,0,23,ALERT
2025-11-16T22:20:58.294841,0.1729,0.0099,1,0,0,25,ALERT
2025-11-16T22:20:58.358636,0.1526,0.0099,1,0,0,48,DROWSY
2025-11-16T22:20:58.496940,0.1049,0.0097,1,0,0,54,DROWSY
2025-11-16T22:20:58.600817,0.0998,0.0097,1,0,0,55,DROWSY
2025-11-16T22:20:58.697727,0.0916,0.0066,1,0,0,56,DROWSY
2025-11-16T22:20:58.830801,0.0903,0.011,1,0,0,57,DROWSY
2025-11-16T22:20:58.956877,0.0933,0.016,1,0,0,57,DROWSY
2025-11-16T22:20:59.031618,0.0929,0.016,1,0,0,57,DROWSY
2025-11-16T22:20:59.165654,0.0926,0.0203,1,0,0,58,DROWSY
2025-11-16T22:20:59.226953,0.0936,0.0203,1,0,0,58,DROWSY
2025-11-16T22:20:59.360762,0.0949,0.0239,1,0,0,58,DROWSY
2025-11-16T22:20:59.429032,0.0995,0.0239,1,1,0,76,DROWSY
2025-11-16T22:20:59.559454,0.1017,0.0236,1,1,0,76,DROWSY
2025-11-16T22:20:59.686018,0.1,0.022,1,1,0,76,DROWSY
2025-11-16T22:20:59.766530,0.0993,0.0253,1,1,0,77,DROWSY
2025-11-16T22:20:59.835049,0.1008,0.0177,1,1,0,77,DROWSY
2025-11-16T22:20:59.899047,0.1013,0.021,1,1,0,77,DROWSY
2025-11-16T22:20:59.966566,0.1029,0.0175,1,1,0,77,DROWSY
2025-11-16T22:21:00.029101,0.1043,0.0207,1,1,0,57,ALERT
2025-11-16T22:21:00.096087,0.1031,0.0207,1,1,0,77,DROWSY
2025-11-16T22:21:00.167629,0.1034,0.0239,1,1,0,77,DROWSY
2025-11-16T22:21:00.250717,0.1047,0.0163,1,1,0,57,ALERT
2025-11-16T22:21:00.327760,0.1067,0.0129,1,1,0,57,ALERT
2025-11-16T22:21:00.395761,0.1064,0.0162,1,1,0,58,ALERT
2025-11-16T22:21:00.466290,0.1142,0.0129,1,1,0,57,ALERT
2025-11-16T22:21:00.587999,0.1134,0.0129,1,1,0,57,ALERT
